Codigo;Departamento;Latitud;Longitud;Confirmed;Recovered;Deaths
91;Amazonas;-10197222;-719.383.333;0;0;0
5;Antioquia;7;-75.5;25;0;0
81;Arauca;70902778;-707616667;0;0;0
8;Atlántico;10.75;-75;7;0;0
11001;Bogotá;4.6;-740833333;88;3;0
13;Bolívar;9;-743333333;14;0;1
15;Boyacá;5.5;-72.5;0;0;0
23;Caldas;83333333;-756666667;3;0;0
17;Caquetá;5.25;-75.5;0;0;0
18;Casanare;1;-74;0;0;0
85;Cauca;5.5;-71.5;2;0;0
19;Cesar;2.5;-768333333;0;0;0
20;Chocó;93333333;-73.5;0;0;0
27;Córdoba;6;-77;0;0;0
25;Cundinamarca;5;-741666667;8;0;0
94;Guainía;2.5;-69;0;0;0
95;Guaviare;16894444;-728202778;0;0;0
41;Huila;2.5;-75.75;10;0;0
44;La Guajira;11.5;-72.5;0;0;0
47;Magdalena;10;-74.5;2;0;0
50;Meta;3.5;-73;1;0;0
52;Nariño;1.5;-78;0;0;0
54;Norte de Santander;8;-73;8;0;0
86;Putumayo;0.5;-76;0;0;0
63;Quindío;4.5;-756666667;3;0;0
66;Risaralda;5;-76;8;0;0
88;San Andrés y Providencia;125847222;-817005556;0;0;0
68;Santander;7;-73.25;2;0;0
70;Sucre;9;-75;0;0;0
73;Tolima;3.75;-75.25;3;0;0
76;Valle del Cauca;3.75;-76.5;26;0;0
97;Vaupés;0.25;-70.75;0;0;0
99;Vichada;5;-69.5;0;0;0
